"timestamp","rainfall","stormwater"
2024-04-01 11:05:00,0.836,12.433
2024-04-01 11:06:00,0.214,12.201
2024-04-01 11:07:00,0.157,12.317
2024-04-01 11:08:00,1.141,13.16
2024-04-01 11:09:00,0.526,13.527
2024-04-01 11:10:00,0.46,13.866
2024-04-01 11:11:00,0.306,13.975
2024-04-01 11:12:00,0.408,14.354
2024-04-01 11:13:00,0.468,15.058
2024-04-01 11:14:00,0.936,14.923
2024-04-01 11:15:00,0.065,15.421
2024-04-01 11:16:00,0.609,15.523
2024-04-01 11:17:00,0.053,15.311
2024-04-01 11:18:00,0.716,16.093
2024-04-01 11:19:00,0.299,16.79
2024-04-01 11:20:00,0.021,17.019
2024-04-01 11:21:00,0.052,16.974
2024-04-01 11:22:00,0.694,17.664
2024-04-01 11:23:00,0.248,17.381
2024-04-01 11:24:00,0.492,17.892
2024-04-01 11:25:00,0.031,17.94
2024-04-01 11:26:00,0.007,17.76
2024-04-01 11:27:00,0.004,18.358
2024-04-01 11:28:00,0,19.307
2024-04-01 11:29:00,0.002,19.468
2024-04-01 11:30:00,0.019,20.057
2024-04-01 11:31:00,0.052,19.635
2024-04-01 11:32:00,0.001,19.608
2024-04-01 11:33:00,0,20.327
2024-04-01 11:34:00,0.011,21.047
2024-04-01 11:35:00,0.151,21.303
2024-04-01 11:36:00,0.042,21.459
2024-04-01 11:37:00,0.001,21.788
2024-04-01 11:38:00,0.031,22.198
2024-04-01 11:39:00,0.052,22.149
2024-04-01 11:40:00,0,22.717
2024-04-01 11:41:00,0.086,22.05
2024-04-01 11:42:00,0,23.409
2024-04-01 11:43:00,0,23.238
2024-04-01 11:44:00,0,23.101
2024-04-01 11:45:00,0,23.751
2024-04-01 11:46:00,0,24.303
2024-04-01 11:47:00,0,24.425
2024-04-01 11:48:00,0,24.779
2024-04-01 11:49:00,0,24.77
2024-04-01 11:50:00,0,25.556
2024-04-01 11:51:00,0,25.767
2024-04-01 11:52:00,0,25.804
2024-04-01 11:53:00,0,26.152
2024-04-01 11:54:00,0,26.77
2024-04-01 11:55:00,0,26.96
2024-04-01 11:56:00,0,26.812
2024-04-01 11:57:00,0,27.126
2024-04-01 11:58:00,0,27.896
2024-04-01 11:59:00,0,28.203
2024-04-01 12:00:00,0,28.054
2024-04-01 12:01:00,0,28.692
2024-04-01 12:02:00,0,28.634
2024-04-01 12:03:00,0,28.558
2024-04-01 12:04:00,0,29.022
2024-04-01 12:05:00,0,29.714
2024-04-01 12:06:00,0,29.698
2024-04-01 12:07:00,0,30.212
2024-04-01 12:08:00,0,30.221
2024-04-01 12:09:00,0,30.63
2024-04-01 12:10:00,0,30.845
2024-04-01 12:11:00,0,30.756
2024-04-01 12:12:00,0,31.181
2024-04-01 12:13:00,0,31.701
2024-04-01 12:14:00,0,31.303
2024-04-01 12:15:00,0,31.941
2024-04-01 12:16:00,0,32.19
2024-04-01 12:17:00,0,32.741
2024-04-01 12:18:00,0,32.651
2024-04-01 12:19:00,0,33.655
2024-04-01 12:20:00,0,33.204
2024-04-01 12:21:00,0,33.481
2024-04-01 12:22:00,0,33.831
2024-04-01 12:23:00,0,34.181
2024-04-01 12:24:00,0,34.443
2024-04-01 12:25:00,0,34.754
2024-04-01 12:26:00,0,34.783
2024-04-01 12:27:00,0,35.355
2024-04-01 12:28:00,0,34.965
2024-04-01 12:29:00,0,35.31
2024-04-01 12:30:00,0,35.349
2024-04-01 12:31:00,0,36.027
2024-04-01 12:32:00,0,36.229
2024-04-01 12:33:00,0,36.39
2024-04-01 12:34:00,0,35.756
2024-04-01 12:35:00,0,36.199
2024-04-01 12:36:00,0,36.565
2024-04-01 12:37:00,0,36.504
2024-04-01 12:38:00,0,36.727
2024-04-01 12:39:00,0,36.835
2024-04-01 12:40:00,0,37.742
2024-04-01 12:41:00,0,37.16
2024-04-01 12:42:00,0,37.38
2024-04-01 12:43:00,0,37.249
2024-04-01 12:44:00,0,38.272
2024-04-01 12:45:00,0,37.697
2024-04-01 12:46:00,0,38.793
2024-04-01 12:47:00,0,38.195
2024-04-01 12:48:00,0,38.644
2024-04-01 12:49:00,0,39.492
2024-04-01 12:50:00,0,38.734
2024-04-01 12:51:00,0,39.948
2024-04-01 12:52:00,0,39.447
2024-04-01 12:53:00,0,39.44
2024-04-01 12:54:00,0,39.996
2024-04-01 12:55:00,0,40.386
2024-04-01 12:56:00,0,40.037
2024-04-01 12:57:00,0,40.369
2024-04-01 12:58:00,0,40.513
2024-04-01 12:59:00,0,40.781
2024-04-01 13:00:00,0,40.609
2024-04-01 13:01:00,0,40.374
2024-04-01 13:02:00,0,40.94
2024-04-01 13:03:00,0,41.401
2024-04-01 13:04:00,0,41.381
2024-04-01 13:05:00,0,41.333
2024-04-01 13:06:00,0,41.308
2024-04-01 13:07:00,0,41.928
